company,url,priority
BANK OF AFRICA,https://www.bankofafrica.ma,A
Attijariwafa bank,https://www.attijariwafabank.com,A
OCP Group,https://www.ocpgroup.ma,A
Marsa Maroc,https://www.marsamaroc.co.ma,A
Royal Air Maroc,https://www.royalairmaroc.com,A
Intelcia,https://www.intelcia.com,A
Holmarcom,https://www.holmarcom.ma,A
Groupe BCP,https://www.groupebcp.com,A
Managem Group,https://www.managemgroup.com,A
Maroc Telecom,https://www.iam.ma,A
Tanger Med Group,https://www.tangermed.ma,A
Nareva,https://www.nareva.ma,A
Wafa Assurance,https://www.wafaassurance.ma,A
TGCC,https://tgcc.ma,A
CIMAT / CIMAF,https://www.cimentsafrique.com,A
Casablanca Finance City,https://www.casablancafinancecity.com,A
UM6P,https://www.um6p.ma,A
Cooper Pharma,https://cooperpharma.ma,B
Sothema,https://www.sothema.com,B
LabelVie,https://www.labelvie.ma,B
Groupe Addoha,https://www.groupeaddoha.com,B
Alliances,https://www.alliances.co.ma,B
HPS Worldwide,https://www.hps-worldwide.com,B
Cosumar,https://www.cosumar.co.ma,B
Mutandis,https://mutandis.com,B
Jet Contractors,https://www.jet-contractors.com,B
Dislog Group,https://dislogroup.com,B
Akdital,https://akdital.ma,B
Saham Bank,https://www.sahambank.com,B
